Artista,Año,Ciudad,Asistentes_estimados,Ingreso_turismo_mill_usd,Noches_prom_hotel,Gasto_prom_persona_usd,Cobertura_medios,Impacto_Global
Madonna,2024,Río de Janeiro,1600000,60.0,2.5,37.5,Alta,Muy alto
Lady Gaga,2025,Río de Janeiro,1800000,75.0,2.7,41.7,Altísima,Extremo
